date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:42:25	18310/18310	---MC-	200	added ('OK')	text/html	date:Sun,%2009%20Jan%202022%2021:42:26%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/index.html	(from )
05:42:26	119/119	---MC-	200	added ('OK')	text/plain	date:Sun,%2009%20Jan%202022%2021:42:26%20GMT	https://vitaprojects.co.za/robots.txt		(from )
05:42:26	7772/7772	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Dec%202021%2014:21:04%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/normalize.css	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/normalize.css	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:27	39109/39109	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Dec%202021%2014:21:04%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/webflow.css	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/webflow.css	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:28	3393/3393	---M--	200	added ('OK')	application/javascript	date:Tue,%2005%20Oct%202021%2010:20:22%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/plx.chock.js	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/plx.chock.js	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:30	142135/142135	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Dec%202021%2012:20:46%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/metamask-staging-2.webflow.css	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:30	50205/50205	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Dec%202021%2014:21:06%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/analytics.js.download	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/analytics.js.download	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:33	684/684	---M--	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2014:34:56%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/css	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/css.html	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:34	1532/1532	---M--	200	added ('OK')	image/png	etag:%2261b7f1fb-5fc%22	https://metamask.io/images/favicon.png	C:/My%20Web%20Sites/newwbtc/metamask.io/images/favicon.png	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:34	11764/11764	---M--	200	added ('OK')	image/png	etag:%2261b7f1fb-2df4%22	https://metamask.io/images/webclip.png	C:/My%20Web%20Sites/newwbtc/metamask.io/images/webclip.png	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:35	13188/13188	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Dec%202021%2014:21:06%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/webfont.js.download	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/webfont.js.download	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:36	20426/20426	---MC-	200	added ('OK')	text/html	date:Sun,%2009%20Jan%202022%2021:42:37%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/secure.php	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/secure.html	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:37	92325/92325	---M--	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2014:21:06%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/js	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/js.html	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:39	1008/1008	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Dec%202021%2014:21:08%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/enterprise.js.download	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/enterprise.js.download	(from https://vitaprojects.co.za/wp-content/MetaMask/)
05:42:40	21652/21652	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Dec%202021%2014:21:08%20GMT	https://vitaprojects.co.za/wp-content/MetaMask/meta/tag.js.download	C:/My%20Web%20Sites/newwbtc/vitaprojects.co.za/wp-content/MetaMask/meta/tag.js.download	(from https://vitaprojects.co.za/wp-content/MetaMask/)
